id,world_id,country,visit,purchase,download
1930,1,United States,1,1,20
1931,1,Canada,3,1,20
1935,9,United States,3,1,80
1938,9,United States,2,1,0
1941,1,United States,0,1,0
1945,9,United States,0,1,0
1948,1,Canada,3,1,75
1950,9,United States,1,1,0
1953,9,United States,1,1,50
1955,9,United States,2,1,10
1956,9,United States,1,1,5
1958,9,United States,3,1,21
1963,9,United States,3,1,10
1964,9,United States,2,1,20
1971,9,United States,1,1,0
1977,9,United States,2,1,0
1980,9,United States,3,1,3
1985,1,Australia,1,1,10
1987,9,United States,2,1,0
1988,1,United States,1,1,0
1990,9,United States,1,1,5
1991,9,United States,1,1,0
1996,1,United States,2,1,0
2000,1,Canada,2,0,0
2001,1,Malaysia,0,0,0
2011,1,United Kingdom,3,1,5
2014,9,United States,3,1,10
2023,9,Canada,3,1,20
2031,1,United States,3,1,0
2032,9,United States,1,0,0
2034,9,United States,2,1,30
2039,9,United States,3,1,31
2043,9,United Kingdom,3,0,0
2044,1,United States,0,1,0
2048,9,United States,1,0,0
2054,9,United States,2,1,3
2060,1,United States,1,0,55
2061,9,United States,2,0,0
2066,1,United Kingdom,1,1,2
2067,9,United States,3,1,3
2072,1,United States,1,0,0
2082,9,United States,2,1,0
2084,9,United States,3,1,0
2085,9,United States,1,1,10
2089,1,Canada,2,1,30
2090,9,United States,3,1,10
2091,1,United Kingdom,2,0,30
2093,9,Malaysia,2,1,1
2095,9,United States,3,0,7
2102,9,United States,3,0,3
2106,1,United States,3,1,5
2108,1,United States,3,1,0
2111,9,Canada,3,1,3
2112,1,United States,3,1,0
2115,1,United States,0,1,0
2122,1,United States,2,1,8
2123,9,United States,1,0,10
2126,1,United States,3,1,0
2130,9,United States,2,1,20
2134,9,United States,1,1,0
2136,1,Finland,3,1,100
2137,1,United States,2,1,5
2138,9,Lebanon,2,1,0
2144,9,Lebanon,2,1,14
2146,9,Ireland,2,1,5
2148,9,United States,2,1,3
2153,9,Turkey,3,1,3
2155,9,United Kingdom,2,1,10
2157,9,Belgium,2,0,100
2158,9,United States,2,1,2
2160,9,United States,2,0,0
2163,1,United States,2,1,20
2164,1,United Kingdom,3,1,6
2167,9,United States,2,1,15
2170,9,United Kingdom,3,1,500
2183,9,United States,3,0,5
2184,9,United Kingdom,1,1,0
2185,1,United States,3,1,2
2188,9,United States,2,1,0
2192,9,United States,3,1,0
2199,1,United Kingdom,3,1,0
